parameter_name,value,unit,source,source_type,confidence,sensitivity,notes
# =============================================================================
# PARAMETER SOURCE TABLE
# source_type: published | literature | calibrated | calculated | assumed
#   published  = stated directly in a primary source (TCDS, factsheet) -- locked, use exactly
#   literature = a textbook/reference-class value or range (Heywood, CRDI-class norms,
#                diesel-literature ceilings) -- not this engine specifically, but the right method
#   calibrated = constructed by method (geometry + material properties), then tuned so the
#                model's steady-state behavior honors a published or literature limit
#   calculated = deterministically derived by formula from other published values (no tuning,
#                no judgment call -- e.g. torque from power/omega)
#   assumed    = an engineering guess where no anchor exists at all (low-sensitivity params only)
# NEVER tag a constructed/guessed value "published". The method used IS the honesty of the row.
# confidence:  high | medium | low
# sensitivity: high | medium | low   (how much model output moves with this param)
# RULE: no value is "real" until source_type != assumed OR it is explicitly a
#       stated modelling assumption. sensitivity=high + source_type=assumed is a
#       RED FLAG -> prioritise sourcing/validating that row.
# Values below are TBD placeholders EXCEPT physics constants. Fill as you source.
# =============================================================================
#
# ---- ENGINE GEOMETRY / RATING (anchor: AE300-class, representative) ----------
displacement_total,1.991,L,AE300 factsheet (Diamond/Austro Engine May 2024),published,high,high,1991 cm3; exact figure, not just ~2.0L class
cylinder_count,4,-,design decision,calibrated,high,high,committed 4-cyl inline
bore,83,mm,Wikipedia (Austro Engine E4 article, citing TCDS),published,high,medium,TCDS is an official certified regulatory document; accessed via Wikipedia citation
stroke,92,mm,Wikipedia (Austro Engine E4 article, citing TCDS),published,high,medium,same sourcing as bore
compression_ratio,18,-,Mercedes-Benz OM640 donor engine (NOT confirmed for AE300 itself),literature,low,high,"AE300 is derived from the OM640 but aviation diesel conversions sometimes change CR for Jet-A1/kerosene vs. road diesel -- treat as a placeholder pending AE300-specific confirmation, not a sourced AE300 value"
rated_power,123.5,kW,AE300 factsheet (Diamond/Austro Engine May 2024),published,high,high,"168 hp; SAME figure for max takeoff AND max continuous power (no separate takeoff/continuous derate on this engine). Supersedes the earlier ~149kW/200HP target used in engine_core_lesson2.slx -- that model needs recalibrating to this number."
rated_rpm,3880,rpm,"EASA TCDS E.200 Issue 12 (30 June 2020): '123.5 kW at 3880 rpm (2300 prop rpm)'",published,high,high,"CRANKSHAFT speed, exact published figure (supersedes an earlier 3887 derived estimate). telemetry-schema.yaml's rpm field is explicitly engine_model.crankshaft, so this -- not the 2300 prop rpm -- is what the engine core's torque-balance model targets. See prop_rated_rpm and gearbox_reduction_ratio below."
prop_rated_rpm,2300,rpm,EASA TCDS E.200,published,high,medium,"PROPELLER/output-shaft speed at rated power -- post-gearbox. Do not confuse with rated_rpm (crankshaft) above. Ratio check: 3880/2300 = 1.687, consistent with the published 1:1.69 gearbox ratio."
gearbox_reduction_ratio,1.69,-,"EASA TCDS E.200: 'gearbox with reduction ratio of 1:1.69'",published,high,high,"crank_rpm = prop_rpm * gearbox_reduction_ratio. engine_core_lesson2.slx currently has NO gearbox stage (direct-drive assumption); needs to be added."
max_torque,512,N_m,AE300 factsheet (Diamond/Austro Engine May 2024),published,high,high,"PROPELLER shaft (post-gearbox), not crankshaft -- resolved by power-balance cross-check: 512 Nm @ 2300 rpm (prop) = 123.3 kW, matching rated_power (123.5 kW) almost exactly. Crank-side torque at the rated point is therefore 512/1.69 = 303 Nm (see crank_torque_rated below)."
crank_torque_rated,303,N_m,"derived: max_torque (512 Nm, prop-side) / gearbox_reduction_ratio (1.69), cross-checked via rated_power/omega_rated_crank(3880rpm)",calculated,high,high,"This is the number the crankshaft torque-balance model (J*domega/dt = T-Tload) should target at rated_rpm (3880 rpm crank), NOT the published 512 Nm which is prop-side."
redline_rpm,4220,rpm,"EASA TCDS E.200: 'Maximum Engine Over-speed (Crankshaft Speed): 4220 rpm (2500 prop rpm)'",published,high,medium,"Real published absolute overspeed limit, distinct from rated_rpm (3880) -- corrects an earlier placeholder that assumed redline=rated_rpm. Sets telemetry valid_range ceiling for rpm; normal operation should stay at/below rated_rpm, with 3880-4220 representing overspeed/fault territory, not a normal operating band."
#
# ---- MECHANICAL DYNAMICS -----------------------------------------------------
crank_inertia_J,0.15,kg_m2,"literature-typical range (0.1-0.2 kg.m2) for a ~2.0L 4-cyl automotive-derived crank+flywheel assembly",literature,low,high,"J in J*domega/dt=T-Tload; drives transient lag; HIGH sens. No published value exists for any engine's crank inertia -- range-typical, not AE300-specific. Currently 0.18 in AeroDieselEngineParameters.m (within this range); reconcile the two before Step 3 validation."
friction_fmep_coeff,0.12,fraction_of_rated_torque,"engineering assumption used in AeroDieselEngineParameters.m -- NOT a true Heywood FMEP correlation (that requires mean piston speed + displacement-specific coefficients this table doesn't have yet)",assumed,low,medium,"Mechanical friction model. Currently implemented as a simple linear-in-RPM drag calibrated to be 12% of rated crank torque at rated_rpm -- a placeholder pending a real Heywood-correlation implementation, not literature-derived despite the row's original tag."
#
# ---- COMBUSTION --------------------------------------------------------------
combustion_efficiency_nominal,0.98,-,"literature-typical for modern CRDI diesels (0.97-0.99 range) -- diesels burn fuel quite completely under normal conditions",literature,medium,high,eta_c in Q=eta_c*mdot_f*LHV
wiebe_a,6.9,-,"literature (Heywood) standard diesel Wiebe-function default",literature,low,medium,"heat-release shape, NOW LIVE in the Step 5 crank-resolved sidecar (crank_resolved_sidecar.slx)'s per-cylinder MATLAB Function combustion model -- NOT used by the mean-value core. Cylinder 1 validated: dx/dphi shape combined with slider-crank kinematics gives a physically sane torque waveform (negative during compression, sharp positive peak ~24deg after TDC, decaying through expansion) matching a hand-derived ode45 reference to within numerical-integration tolerance."
wiebe_m,0.9,-,"literature (Heywood) standard diesel Wiebe-function default",literature,low,medium,"same scope note as wiebe_a -- crank-resolved sidecar only, now live"
conrod_length,150,mm,"assumed -- no AE300-specific value published",assumed,low,medium,"Gives rod/crank ratio (l/a) = 150/(92/2) = 3.26, within the typical 3.0-3.5 automotive-diesel range. Used by the Step 5 sidecar's slider-crank volume/torque kinematics (V(phi), dV/dphi, and the connecting-rod torque formula) -- not used by the mean-value core."
ignition_delay_deg,4,deg_crank,"assumed -- typical CRDI diesel ignition delay (injection-start to actual-combustion-start)",assumed,low,medium,"Step 5 sidecar only: combustion start phi0 = -(injection_timing_deg_BTDC - ignition_delay_deg)."
combustion_duration_deg,50,deg_crank,"assumed -- typical diesel 10-90% burn duration",assumed,low,high,"Step 5 sidecar only: width of the Wiebe combustion window. Directly sets how sharply-peaked vs. spread-out the torque pulse is -- high sensitivity for vibration order content."
cylinder_gamma,1.35,-,"assumed -- single constant ratio-of-specific-heats for the whole closed cycle, a standard single-zone-model simplification (real gamma varies with temperature/composition through the cycle; this is a representative blend between fresh-air gamma=1.4 and hot combustion-gas gamma~1.3)",assumed,medium,high,"Step 5 sidecar only: used throughout the crank-angle-domain pressure-rise ODE dP/dphi = -gamma*P/V*dV/dphi + (gamma-1)/V*dQ/dphi."
compression_polytropic_index,1.30,-,"literature-typical for diesel compression",literature,low,low,"Step 5 sidecar: documentation/cross-check reference only -- the actual ODE uses cylinder_gamma throughout rather than switching formulas between compression and expansion phases."
misfire_rate_c1_init,0,probability,"design decision -- healthy baseline (no misfires) for the misfire fault hook (STEP 5, crank-resolved sidecar)",calibrated,high,high,"0.0=healthy convention (a probability/rate, not a _health fraction -- see health-parameter-registry.md). Implemented INSIDE each cylinder's MATLAB Function, latched once per crank cycle at the cycle-start event via a Bernoulli trial (rand() < misfire_rate): a misfired cycle has its heat release zeroed entirely, but is NOT a zero-torque cycle -- the compressed-but-unignited charge still produces a real (much smaller) blow-down torque pulse during what would be the power stroke, which is physically correct, not a bug. Verified: misfire_rate=0.5 on cylinder 1 produced real misfire events (~2 of ~5 cycles in a short window) with peak torque during a misfired cycle dropping from ~1580Nm (normal firing) to ~526Nm (compression-only blow-down) -- a genuine, correctly-directioned reduction. Duplicated per-cylinder as misfire_rate_c2/c3/c4_init, same convention."
combustion_stability_init,0,-,"design decision -- healthy baseline (no cycle-to-cycle variance) for the combustion_instability fault hook (STEP 5, crank-resolved sidecar)",calibrated,high,high,"0.0=healthy convention. Implemented INSIDE each cylinder's MATLAB Function, latched once per cycle at the cycle-start event as a Gaussian heat-release-magnitude multiplier (1 + combustion_stability*0.3*randn(), floored at 0) -- shared across all 4 cylinders (per the matrix, this is an engine-wide combustion-quality fault, not per-cylinder like misfire). Verified: healthy baseline gives per-cycle peak-cylinder-pressure COV=0.5% (essentially flat, small residual from slowly-rising RPM); combustion_stability=0.8 raises it to 16.6% -- a clear, correctly-directioned instability signature, matching the matrix's 'COV of IMEP rising' discriminator (peak pressure used as the validation proxy here; the sidecar's own IMEP-COV accumulator, integrating P dV per cycle properly, is still to be built)."
imep_cov_window_cycles,10,cycles,"assumed -- rolling-window length for the Step 5 sidecar's IMEP coefficient-of-variation accumulator, a bias/noise-vs-responsiveness tradeoff (no published standard window size)",assumed,low,medium,"Verified: healthy baseline COV=0.44%% over this window (stable IMEP ~20.7-21.4 bar); combustion_stability=0.8 raises it to 25.4%% -- a clear, correctly-directioned signature matching the matrix's 'COV of IMEP rising' detection_signature."
vibration_rms_x_sidecar,-,rad_per_s2,"Step 5 sidecar's TRUE crank-resolved vibration signature (angular acceleration RMS from the actual simulated shaft speed) -- NOT a fixed value, a computed telemetry channel",calculated,high,high,"Supersedes the Step 4 mean-value PROXY (vibration_baseline_g/vibration_imbalance_gain_g, still valid as a placeholder pending sidecar integration) for units where the sidecar is active. Cross-validated against an independent offline uniform-angle-resampled DFT of the logged omega trace (order_2x: 4073 online vs 4091 offline, order_1x: 0.7 vs 4.8 -- both near-zero as expected) -- confirms the online synchronous-demodulation algorithm is correct, not coincidentally plausible. Healthy baseline is strongly order-2-dominated (~4073 rad/s^2, the expected once-per-180-crank-degree combustion-firing signature for a 4-cylinder engine) with near-zero order-1 (no true mechanical imbalance modeled in the sidecar -- that stays the Step 4 proxy's domain). Order-tracking is computed relative to the TRUE mechanical shaft angle (mod(theta_global,2*pi)), deliberately NOT the 4*pi-periodic combustion-cycle angle, since order convention is defined relative to shaft rotation, not the thermodynamic cycle."
vibration_order_1x_sidecar,-,rad_per_s2,"see vibration_rms_x_sidecar -- same block, same validation",calculated,high,high,"Injecting misfire_rate=0.3 on cylinder 1 raised order_1x from 0.7 to 12.3 (~18x) -- physically sensible: a single cylinder misfiring breaks the engine's even once-per-180-degree firing symmetry, showing up as new once-per-cycle content riding on top of the still-dominant order-2 combustion signature."
cylinder_wall_heat_loss_fraction,0.28,fraction_of_released_heat,"REUSES coolant_heat_fraction (already established for the mean-value combustion energy balance) as the Step 5 sidecar's simplified in-cylinder wall-heat-transfer loss during combustion+expansion -- NOT an independent parameter",calculated,medium,high,"CROSS-VALIDATION FINDING: the sidecar's single-zone model is otherwise adiabatic (no gas-to-wall heat transfer term), which over-predicts IMEP substantially if the full released heat is used (fully-adiabatic run gave IMEP=29.97 bar, implying an unrealistic 56% friction fraction vs. the mean-value core's own assumed 12%). Scaling released heat by (1-coolant_heat_fraction)=0.72 before it enters the pressure ODE gives IMEP=21.61 bar (realistic for a highly-boosted CRDI diesel) and an IMPLIED friction fraction of 11.2% -- close agreement with friction_fmep_coeff's independently-derived 12%, without ever tuning to match it. Two unrelated parts of the model landing this close together is a good consistency signal, not a coincidence engineered after the fact."
fuel_LHV,42.8,MJ_per_kg,published (Jet-A/diesel),published,high,low,"heavy fuel LHV; well-known, ~42.5-43"
stoich_afr_diesel,14.5,-,"published, well-known diesel stoichiometric air-fuel ratio",published,high,medium,"lambda = AFR/stoich_afr_diesel"
injector_health_c1_init,1.0,fraction,"design decision -- healthy baseline for the injector_degradation fault hook (STEP 4, first fault built)",calibrated,high,high,"Required building per-cylinder EGT (egt_c1..c4) for the first time -- previously only one lumped EGT existed, even though telemetry-schema.yaml requires all four separately. Each cylinder's fuel share = (fuel_flow_total/4)*injector_health_c{n}, no ECU trim/redistribution modeled (V1 simplification). Verified: degrading c3 to 0.4 collapses EGT_c3 (696.4->312.8C) and CHT_c3 (202.2->136.1C) while c1/c2/c4 stay locked at the healthy value, total fuel_flow/power barely move (28.0->27.98kg/h, 123.5->123.4kW) -- matches failure-mode-matrix.csv's discriminator exactly (single-cylinder residual, siblings clean, aggregate signals nearly unaffected)."
injector_health_c2_init,1.0,fraction,"same as c1",calibrated,high,high,"see injector_health_c1_init"
injector_health_c3_init,1.0,fraction,"same as c1",calibrated,high,high,"see injector_health_c1_init"
injector_health_c4_init,1.0,fraction,"same as c1",calibrated,high,high,"see injector_health_c1_init"
