fault_id,failure,cause,operating_condition,first_weak_signal,correlated_signals,injection_mechanism,severity_range,onset_profile,failure_criterion,detection_signature,discriminator,min_mission_coverage,prediction,consequence,recommended_action,model_tier,health_parameter,condition_dependent,tier_AB
injector_degradation,Injector fouling / reduced delivery,Deposits reduce delivered fuel mass on one cylinder,Steady cruise; any load but clearest at constant RPM/load,egt_c{n} rising vs siblings,"egt_c{n},fuel_flow,torque,cht_c{n},vibration_rms_*",injector_health_c{n} scales delivered fuel mass 1.0->0.0 on cylinder n,0.0-0.6 (0.6=mission-critical),linear ramp within a mission OR step across missions,injector_health_c{n} <= 0.6,egt_c{n} residual > 3 sigma while sibling cylinders within 1 sigma,"vs timing_drift: fouling is SINGLE cylinder; timing is ALL cylinders",cruise at constant RPM/load,Cylinder-specific EGT residual grows -> injector n degrading,Power loss + thermal stress on affected cylinder,Flag injector n for inspection; monitor trend,mean_value,injector_health_c{1..4},no,A
lubrication_degradation,Lubrication efficiency loss -> bearing wear risk,Oil pump wear or oil breakdown,Constant RPM/load; slow onset over missions,oil_pressure residual trending negative,"oil_pressure,oil_temperature,vibration_rms_*",oil_pump_health scales pressure output 1.0->0.0,0.0-0.5,slow degradation across many missions,oil_pump_health <= 0.5,oil_pressure residual < -0.5 bar AND vibration_rms rising over missions,"vs oil_pump: lube shows temp+vibration coupling; pure pump shows pressure only",constant RPM/load repeated across missions,Negative oil_pressure residual + rising vibration -> lube/bearing degradation,Bearing wear progression; mechanical failure risk,Schedule lube/bearing inspection; watch RUL,mean_value,oil_pump_health,no,A
cooling_degradation,Cooling system degradation -> overheating,Radiator blockage or coolant pump efficiency loss,Same load/ambient; RATE of CHT rise is the tell,cht rise-rate faster than expected,"cht_c*,coolant_temperature,oil_temperature",cooling_health scales nominal heat rejection 1.0->0.0,0.0-0.5,gradual over missions OR sudden (blockage),cooling_health <= 0.5,cht rise-rate residual > threshold AND coolant_temperature residual positive,"vs sensor drift on CHT: cooling moves cht AND coolant AND oil together (coupled group)",hot-weather + high-load missions AND healthy baselines at same condition,Reduced cooling effectiveness -> unsafe thermal in ~X min at current load/ambient,Overheat; possible power derate needed,Advise reduce power / descend / abort,mean_value,cooling_health,partial,A
turbo_degradation,Turbocharger efficiency loss,Turbine/compressor wear,HIGH ALTITUDE especially; may be invisible at sea level,boost_pressure residual negative at altitude,"boost_pressure,map,air_mass_flow,egt_c*,power,fuel_flow",turbo_efficiency_deg scales turbo map efficiency 0.0->1.0 (deg),0.0-0.7,gradual across missions,turbo_efficiency_deg >= 0.7,boost_pressure residual < 0 growing with altitude AND egt residual positive,"altitude-dependence IS the discriminator: sea-level clean, altitude divergent",full altitude sweep (sea level to ceiling) WITH healthy engines at altitude,Boost deficit widens with altitude -> turbo degrading,Power loss + high EGT at altitude,Limit altitude/power; inspect turbo,mean_value,turbo_efficiency_deg,yes,A
mechanical_vibration,Abnormal vibration -> mechanical degradation,Bearing wear / imbalance,Constant RPM; new frequency component grows,new order component in vibration spectrum,"vibration_order_1x,vibration_rms_*,oil_pressure,oil_temperature",bearing_health raises imbalance + friction; injects order-tracked amplitude,0.0-0.5,slow growth across missions,bearing_health <= 0.5,order-tracked amplitude (0.5x/1x/2x) rising consistently across missions,"vs lube: mechanical shows spectral order growth FIRST; lube shows pressure drop first",constant RPM missions repeated over time,Growing order component + oil signs -> crank/bearing degradation,Mechanical failure risk,Inspect crank/bearing assembly,crank_resolved,bearing_health,no,A
misfire,Misfire / partial combustion,Ignition/injection/cylinder issue,Any; short-term intermittent events,rpm/torque fluctuation + egt_c{n} anomaly,"rpm,torque,egt_c{n},vibration_*",misfire_rate = probability a given cycle on cyl n fails to combust,0.0-0.3 (rate),intermittent; frequency rises over time,misfire_rate >= 0.1 sustained,instantaneous rpm ripple + egt_c{n} drop per misfire event; event-rate rising,"vs combustion_instability: misfire = discrete zero-combustion events; instability = continuous IMEP variance",any steady state; needs crank-resolved capture window,Rising misfire event frequency -> persistent misfire risk,Rough running; power loss; downstream damage,Inspect cylinder n injection/compression,crank_resolved,misfire_rate,no,B
combustion_instability,Combustion instability,Cycle-to-cycle IMEP variance rise,Any; measured via per-cycle pressure variance,COV of IMEP rising,"rpm,torque,egt_c*,vibration_*",combustion_stability raises cycle-to-cycle IMEP variance,0.0-0.5,gradual,combustion_stability >= 0.5,COV(IMEP) over N cycles above baseline threshold,"vs misfire: instability = elevated variance without full dropouts",steady state with crank-resolved capture,Increasing combustion COV -> instability trend,Efficiency loss; rough operation,Inspect fuel/injection/compression,crank_resolved,combustion_stability,no,B
fuel_starvation,Fuel delivery restriction / starvation,Filter/pump/line restriction,ONLY at HIGH LOAD / high fuel demand; hidden at cruise,rail_pressure instability under load,"rail_pressure,fuel_flow,torque,rpm",fuel_delivery_health caps max deliverable fuel rate 1.0->0.0,0.0-0.6,gradual (filter) OR sudden (blockage),fuel_delivery_health <= 0.6,rail_pressure residual negative + torque deficit ONLY when fuel demand high,"condition-gated: invisible at cruise, appears at high load = the discriminator",high-load / max-power segments WITH healthy baselines at high load,Fuel deficit appears at high power -> delivery degradation,Torque deficit / instability at power,Inspect fuel supply/filter,mean_value,fuel_delivery_health,yes,B
alternator_degradation,Alternator output degradation,Alternator wear,Any; battery masks it early,alternator_power below expected,"alternator_power,battery_voltage,battery_current",alternator_health scales rated output 1.0->0.0,0.0-0.5,gradual across missions,alternator_health <= 0.5,alternator_power residual negative; battery SOC declining across missions,"vs sensor: real degradation shows SOC decline mission-over-mission; sensor is single-reading",multi-mission sequence to see SOC trend,Declining SOC trend across missions -> electrical power loss risk,Loss of electrical power over time,Inspect/replace alternator,mean_value,alternator_health,no,B
injection_timing_drift,Injection timing calibration drift,ECU/rail timing drift,Same throttle/RPM; slow onset,fuel_flow up + torque down + egt up together,"injection_timing,fuel_flow,torque,egt_c*",injection_timing_deg shifts commanded timing away from nominal,0.0-0.6,slow drift,injection_timing_deg >= 0.6,injection_timing residual nonzero + correlated fuel/torque/egt shift across ALL cylinders,"vs injector fouling: timing affects ALL cylinders equally; fouling is one cylinder",cruise at constant throttle/RPM,Correlated timing-driven residuals -> timing calibration degradation,Combustion efficiency loss + thermal stress,Recalibrate injection timing,mean_value,injection_timing_deg,no,B
